group_en,group_he,method,path,summary,description,required_params,optional_params,analyst_use_case
siri,נתוני SIRI (ביצוע),GET,/siri_vehicle_locations/list,List ,List of siri vehicle locations.,,"limit, offset, get_count, siri_vehicle_location_ids, siri_snapshot_ids, siri_ride_stop_ids, recorded_at_time_from, recorded_at_time_to, lon__greater_or_equal, lon__lower_or_equal, lat__greater_or_equal, lat__lower_or_equal, order_by, siri_routes__line_ref, siri_ride__vehicle_ref, siri_routes__operator_ref, siri_rides__ids, siri_routes__ids, siri_rides__schedualed_start_time_from, siri_rides__schedualed_start_time_to, siri_rides__scheduled_start_time_from, siri_rides__scheduled_start_time_to",מיקומי רכב מ-SIRI
siri,נתוני SIRI (ביצוע),GET,/siri_vehicle_locations/get,Get ,Return a single siri vehicle location based on id,id,,מיקומי רכב מ-SIRI
siri,נתוני SIRI (ביצוע),GET,/siri_snapshots/list,List ,List of siri snapshots.,,"limit, offset, get_count, snapshot_id_prefix, order_by",סטטוס תמונות ETL
siri,נתוני SIRI (ביצוע),GET,/siri_snapshots/get,Get ,Return a single siri snapshot based on id,id,,סטטוס תמונות ETL
siri,נתוני SIRI (ביצוע),GET,/siri_velocity_aggregation/siri_velocity_aggregation,Siri Velocity Aggregation,,recorded_from,"lon_min, lon_max, lat_min, lat_max, rounding_precision",מהירות ממוצעת לרכב/קו
gtfs,נתוני GTFS (תכנון),GET,/gtfs_routes/list,List ,List of gtfs routes.,,"limit, offset, get_count, date_from, date_to, line_refs, operator_refs, route_short_name, route_long_name_contains, route_mkt, route_direction, route_alternative, agency_name, route_type, order_by",מסלולים מתוכננים (GTFS)
gtfs,נתוני GTFS (תכנון),GET,/gtfs_routes/get,Get ,Return a single gtfs route based on id,id,,מסלולים מתוכננים (GTFS)
gtfs,נתוני GTFS (תכנון),GET,/gtfs_stops/list,List ,List of gtfs stops.,,"limit, offset, get_count, date_from, date_to, code, city",תחנות מתוכננות (GTFS)
gtfs,נתוני GTFS (תכנון),GET,/gtfs_stops/get,Get ,Return a single gtfs stop based on id,id,,תחנות מתוכננות (GTFS)
gtfs,נתוני GTFS (תכנון),GET,/gtfs_rides/list,List ,List of gtfs rides.,,"limit, offset, get_count, gtfs_route_id, journey_ref_prefix, start_time_from, start_time_to, gtfs_route__date_from, gtfs_route__date_to, gtfs_route__line_refs, gtfs_route__operator_refs, gtfs_route__route_short_name, gtfs_route__route_long_name_contains, gtfs_route__route_mkt, gtfs_route__route_direction, gtfs_route__route_alternative, gtfs_route__agency_name, gtfs_route__route_type, order_by",נסיעות מתוכננות (GTFS)
gtfs,נתוני GTFS (תכנון),GET,/gtfs_rides/get,Get ,Return a single gtfs ride based on id,id,,נסיעות מתוכננות (GTFS)
gtfs,נתוני GTFS (תכנון),GET,/gtfs_agencies/list,List ,List of gtfs agencies.,,"limit, offset, date_from, date_to",רשימת מפעילים
gtfs,נתוני GTFS (תכנון),GET,/gtfs_ride_stops/list,List ,List of gtfs ride stops.,,"limit, offset, get_count, arrival_time_from, arrival_time_to, gtfs_stop_ids, gtfs_ride_ids, gtfs_ride__gtfs_route_id, gtfs_ride__journey_ref_prefix, gtfs_ride__start_time_from, gtfs_ride__start_time_to, gtfs_stop__date_from, gtfs_stop__date_to, gtfs_stop__code, gtfs_stop__city, gtfs_route__date_from, gtfs_route__date_to, gtfs_route__line_refs, gtfs_route__operator_refs, gtfs_route__route_short_name, gtfs_route__route_long_name_contains, gtfs_route__route_mkt, gtfs_route__route_direction, gtfs_route__route_alternative, gtfs_route__agency_name, gtfs_route__route_type, order_by",עצירות נסיעה מתוכננת
gtfs,נתוני GTFS (תכנון),GET,/gtfs_ride_stops/get,Get ,Return a single gtfs ride stop based on id,id,,עצירות נסיעה מתוכננת
aggregations,אגרגציות,GET,/gtfs_rides_agg/list,List ,List of gtfs rides aggregations.,"date_from, date_to","limit, offset, get_count, exclude_hours_from, exclude_hours_to",נסיעות מתוכננות (GTFS)
aggregations,אגרגציות,GET,/gtfs_rides_agg/group_by,Group By ,gtfs rides aggregation grouped by given fields.,"date_from, date_to, group_by","exclude_hours_from, exclude_hours_to",נסיעות מתוכננות (GTFS)
